Year,Office,TotalBudget,TotalQty,AvgUnitCost
2023,Gender and Development Office,7046919.7,152,37081.933666666664
2023,Graduate Studies Office,213790.34,104,3899.292413793103
2023,Guidance & Counseling Section (Lucinda),2726873.48,261,34224.99739130434
2023,Human Resource Development & Management Office,152341.94,102,2059.259189189189
2023,Institutional Student Programs and Services,117051.88,262,2898.477142857143
2023,Internal Audit Services,149090.76,78,5618.240400000001
2023,International Affairs and Linkages Office,1879123.02,227,13706.359722222223
2023,"International, Differently-Abled, Indigenous, Marginalized Student Services",611175.67,183,10816.36606060606
2023,Motorpool Unit,24277718.3,967,330018.3116
2023,National Service Training Program,1667379.37,505,20177.518333333333
2023,OUHS-Dental Unit,2124739.46,2911,20733.86926470588
2023,OUHS-Medical Unit (Main),7450469.85,73482,17316.7875
2023,"Office of Culture, Arts and Languages",2147178.09,703,26762.0372972973
2023,Office of Curriculum and Instruction,247384.81,134,4000.8374193548384
2023,"Office of Planning, Performance, Monitoring & Evaluation",2454569.86,158,30579.164444444443
2023,Office of Student Affairs Services,4908181.74,2664,19145.549869281043
2023,Office of the University President,477669.35,476,10168.638611111111
2023,Office of the University/Board Secretary,141186.88,385,1070.1014285714286
2023,Office of the Vice President for Academic Affairs,431249.69999999995,260,10946.902962962964
2023,Office of the Vice President for Administration,17866433.54,468,141630.63067567567
2023,Office of the Vice President for Planning and Quality Assurance,3281668.77,671,25303.679827586206
2023,"Office of the Vice President for Research, Innovation and Extension",34713.17,52,1481.1863157894736
2023,Performance Management Unit,3833512.11,2692,20360.555263157894
2023,Pollution Control and Safety Unit,12628300.56,20452,51000.41829545454
2023,Procurement Unit,1334158.68,853,18685.344390243903
2023,Public Affairs Office,3674200.5700000003,107,67665.07102040817
2023,Quality Assurance Office,2617018.1399999997,152,12635.551304347826
2023,Records & Archives Unit,644898.24,319,10707.298611111111
2023,"Recruitment, Selection and Promotion Unit",752941.97,177,10828.49947368421
2023,Research Ethics & Review Committee,4952.78,72,48.84538461538462
2023,"Research, Accreditation and Records Unit",127837.66,81,7211.458
2023,Scholarship and Financial Assistance Section,427627.52,223,4640.937727272728
2023,School of Law,965021.1,182,11573.682926829268
2023,Sports Development and Management Unit,8801562.58,8817,6209.328864864865
2023,Student Development Services Unit,15623.38,95,170.55529411764707
2023,Student Development Unit,582104.63,180,19351.336666666666
2023,Student Organization Section,993892.24,121,40637.62608695652
2023,Student Publication Section,2934629.08,108,69394.50571428571
2023,Student Welfare Services Unit,272884.67,45,20545.989230769228
2023,Supply and Property Management Unit,9717593.78,16882,6405.086707317073
2023,"Technology, Development, Transfer and Commercialization Office",2269447.08,358,41819.778837209305
2023,"Testing, Evaluation & Monitoring Section",2145972.64,522,8376.761162790697
2023,Training and Organization Development Unit,454536.22,76,9150.983658536587
2023,University Hotel,7077332.4,13688,22787.2004494382
2024,Accounting Unit,1834502.37,6721,8268.0522
2024,Admission and Registration Office,7156326.57,4192,14287.848311688313
2024,Alumni Affairs Office,8784.92,97,102.505
2024,Budget Management Unit,98331.93,140,531.3177272727272
2024,Cashiering Unit,1528281.25,755,3743.7605263157902
2024,Center for Community and Local Governance Studies and Policy Development,1234360.78,357,22888.52022727273
2024,Center for Engineering and Environmental Research,1425150.52,279,12836.392638888889
2024,Center for Natural Products Research,4508002.12,4183,8206.624244604316
2024,"Center for Peace, Indigenous People Resources and Development",730900.12,138,11995.749714285714
2024,Center for Solar and Emerging Technologies,791732.6,523,7915.844318181818
2024,College of Architecture and Fine Arts,7692197.9399999995,917,36276.25210526316
2024,College of Arts and Social Sciences,3626392.09,758,33764.397032967034
2024,College of Business and Accountancy,11088187.93,6413,18544.702920353982
2024,College of Computer Studies,8385026.649999999,270,223575.29074074072
2024,College of Criminal Justice and Education,2519415.24,464,53335.389749999995
2024,College of Education,6987856.99,2727,14073.102307692308
2024,College of Industrial Technology,13026012.61,2597,120669.28550000001
2024,College of Public Administration & Governance,10668785.85,1571,20513.50315068493
2024,Commission on Audit,270097.04,162,1966.0858333333333
2024,Contract Management Unit,249471.63,263,8296.48875
2024,Employee's Welfare Unit,4288464.94,154,101228.57974358974
2024,Extension Services Management Office,14362058.75,1426,74986.12304347826
2024,Facilities Maintenance Unit,23066015.7,39104,18508.273263157895
2024,Finance Office,29837.26,49,665.8872727272727
2024,Gender and Development Office,3993618.79,382,31131.189552238804
2024,Graduate Studies Office,168284.99,171,2848.557857142857
2024,Human Resource Development & Management Office,308820.26,130,4355.289761904762
2024,Institutional Student Programs and Services,2976001.29,823,14602.061527777776
2024,Internal Audit Services,223971.91999999998,93,8111.7896
2024,International Affairs and Linkages Office,1304444.23,189,11238.235666666667
2024,Monitoring and Inspection Unit,1307388.4,193,9135.584705882353
2024,Motorpool Unit,12272442.8,901,58184.90642857143
2024,National Service Training Program,2281567.97,842,27781.43575342466
2024,OAS - Obligation and Administrative Service Unit,7000320.96,23602,12886.3225
2024,OAS - Payroll Services Unit,1172627.81,1558,4378.568181818182
2024,OUHS-Dental Unit,2181410.23,2881,26134.883157894736
2024,OUHS-Medical Unit (Main),4159432.39,76025,6138.724098360656
